model,eval_date,gsm8k,winogrande,arc_challenge,hellaswag,truthfulqa
tiiuae/falcon-7b,2023-12-03T17-58-16.188347,0.04624715693707354,,,,
l3utterfly/llama2-7b-layla,2023-09-17T04-32-53.780547,0.08491281273692192,0.7411207576953434,,,
wenge-research/yayi-7b-llama2,2023-09-23T15-31-48.459973,0.0667172100075815,0.745067087608524,,,
wenge-research/yayi-13b-llama2,2023-10-15T08-54-37.748891,0.0401819560272934,0.696921862667719,,,
wenge-research/yayi-7b,2023-09-23T06-30-46.171350,0.009097801364670205,0.6227308602999211,,,
Salesforce/codegen-6B-multi,2023-09-17T16-03-24.243188,0.009855951478392721,0.5390686661404893,,,
Salesforce/codegen-16B-nl,2023-09-16T21-34-04.587307,0.026535253980288095,0.6795580110497238,,,
Salesforce/codegen-6B-nl,2023-09-23T04-29-16.787145,0.021986353297952996,0.664561957379637,,,
AlekseyKorshuk/pygmalion-6b-vicuna-chatml,2023-12-02T15-52-11.848314,0.04397270659590599,,,,
AlekseyKorshuk/chatml-pyg-v1,2023-09-16T21-00-54.207494,0.05155420773313116,0.6250986582478295,,,
bigscience/bloom-1b1,2023-12-04T13-05-11.599988,0.002274450341167551,,,,
bigscience/bloom-560m,2023-12-04T13-05-03.033636,0.003032600454890068,,,,
bigscience/bloom-7b1,2023-12-04T13-10-02.911977,0.013646702047005308,,,,
MBZUAI/lamini-cerebras-256m,2023-10-18T21-23-58.159302,0.0,0.5201262825572218,,,
MBZUAI/lamini-neo-125m,2023-10-15T21-31-39.486023,0.0,0.5224940805051302,,,
MBZUAI/lamini-cerebras-1.3b,2023-10-14T20-18-17.914204,0.0,0.5059194948697711,,,
MBZUAI/LaMini-GPT-1.5B,2023-10-18T04-41-54.812526,0.0,0.5588003157063931,,,
MBZUAI/lamini-cerebras-111m,2023-10-18T18-05-40.911064,0.0,0.5122336227308603,,,
